State or territory,% White,% Black or African American,% American Indian and Alaska Native,% Asian,% Native Hawaiian and Other Pacific Islander,% Some other race,% Two or more races
Alabama,68.8,26.4,0.5,1.2,0.1,1.3,1.7
Alaska,66.0,3.4,13.8,5.9,1.2,1.3,8.4
Arizona,78.4,4.2,4.4,3.0,0.2,6.5,3.2
Arkansas,78.0,15.5,0.6,1.4,0.2,2.1,2.1
California,61.8,5.9,0.7,13.7,0.4,12.9,4.5
Colorado,84.2,4.0,0.9,2.9,0.1,4.3,3.5
Connecticut,77.3,10.3,0.2,4.2,0.0,5.1,2.8
Delaware,69.4,21.6,0.3,3.6,0.0,2.3,2.7
Florida,76.0,16.1,0.3,2.6,0.1,2.5,2.4
Georgia,60.2,30.9,0.3,3.6,0.0,2.8,2.1
Hawaii,25.4,2.0,0.2,37.7,9.9,1.1,23.7
Idaho,91.7,0.6,1.3,1.3,0.1,2.4,2.6
Illinois,72.3,14.3,0.2,5.0,0.0,5.8,2.2
Indiana,84.2,9.2,0.2,1.9,0.0,2.3,2.2
Iowa,91.2,3.2,0.3,2.0,0.1,1.3,2.0
Kansas,85.2,5.8,0.8,2.6,0.1,2.2,3.3
Kentucky,87.6,7.9,0.2,1.3,0.0,0.9,2.1
Louisiana,62.8,32.1,0.6,1.7,0.0,1.0,1.8
Maine,95.0,1.1,0.6,1.1,0.0,0.2,2.0
Maryland,57.6,29.5,0.3,6.0,0.0,3.6,3.0
Massachusetts,79.6,7.1,0.2,6.0,0.0,4.2,2.9
Michigan,79.0,14.0,0.5,2.7,0.0,1.1,2.6
Minnesota,84.8,5.5,1.0,4.4,0.0,1.5,2.7
Mississippi,59.2,37.4,0.4,1.0,0.0,0.9,1.2
Missouri,82.6,11.5,0.4,1.8,0.1,1.1,2.4
Montana,89.2,0.5,6.5,0.7,0.1,0.5,2.5
Nebraska,88.1,4.7,0.9,2.0,0.1,1.9,2.2
Nevada,69.0,8.4,1.1,7.7,0.6,8.8,4.4
New Hampshire,93.7,1.3,0.2,2.4,0.0,0.5,1.8
New Jersey,68.3,13.5,0.2,9.0,0.0,6.4,2.5
New Mexico,73.2,2.1,9.1,1.4,0.1,10.9,3.3
New York,64.6,15.6,0.4,8.0,0.0,8.6,2.9
North Carolina,69.5,21.5,1.2,2.5,0.1,3.0,2.4
North Dakota,88.7,1.6,5.3,1.2,0.0,0.8,2.2
Ohio,82.4,12.2,0.2,1.9,0.0,0.8,2.5
Oklahoma,73.1,7.2,7.3,1.9,0.1,2.6,7.8
Oregon,85.1,1.8,1.2,4.0,0.4,3.4,4.1
Pennsylvania,81.6,11.0,0.2,3.1,0.0,2.0,2.1
Rhode Island,81.1,6.5,0.5,3.2,0.0,5.8,2.8
South Carolina,67.2,27.5,0.3,1.4,0.1,1.5,2.0
South Dakota,85.0,1.6,8.6,1.2,0.0,0.9,2.6
Tennessee,77.8,16.8,0.3,1.6,0.1,1.5,2.0
Texas,74.9,11.9,0.5,4.2,0.1,6.0,2.5
Utah,87.6,1.1,1.1,2.2,0.9,4.5,2.6
Vermont,94.9,1.1,0.3,1.4,0.0,0.3,1.9
Virginia,69.0,19.2,0.3,6.0,0.1,2.2,3.2
Washington,77.8,3.6,1.3,7.7,0.6,3.8,5.2
West Virginia,93.6,3.3,0.2,0.7,0.0,0.2,2.0
Wisconsin,86.5,6.3,0.9,2.5,0.0,1.7,2.1
Wyoming,91.0,1.1,2.2,0.9,0.1,2.1,2.7
